Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned,Year
Emma Victoria Talvik,F,SBD,Raw,21.5,20-23,19-23,Open,85.22,84+,122.5,130,NA,NA,130,65,-70,70,NA,70,135,145,-152.5,NA,145,345,5,315.3,305.48,266.78,64.79,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Jamie Scott,F,SBD,Raw,22,20-23,19-23,Open,74.06,76,145,152.5,-157.5,NA,152.5,80,85,87.5,NA,87.5,175,182.5,-187.5,NA,182.5,422.5,8,414.27,404.86,356.3,84.34,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Isa Boonstra,F,SBD,Raw,22.5,20-23,19-23,Open,70.17,76,135,-142.5,-142.5,NA,135,80,85,87.5,NA,87.5,155,165,-172.5,NA,165,387.5,12,391.33,384.86,339.23,79.54,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Megan Richard,F,SBD,Raw,23,20-23,19-23,Open,75.21,76,150,160,167.5,NA,167.5,87.5,90,95,NA,95,142.5,150,-160,NA,150,412.5,10,401.17,391.45,344.31,81.73,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Alicia Jemets,F,SBD,Raw,24.5,24-34,24-39,Open,74.79,76,112.5,120,-122.5,NA,120,-67.5,-70,70,NA,70,135,-150,150,NA,150,340,13,331.64,323.79,284.85,67.55,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Faith Anderson,F,SBD,Raw,18.5,18-19,19-23,Open,68.62,69,117.5,125,132.5,NA,132.5,65,70,75,NA,75,120,127.5,-137.5,NA,127.5,335,12,342.6,337.93,298.01,69.62,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Kimberly Pedroza,F,SBD,Raw,20.5,20-23,19-23,Open,67.78,69,-105,-110,110,NA,110,55,57.5,60,NA,60,130,140,147.5,NA,147.5,317.5,15,327,323.09,284.99,66.44,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Cornelia Hinnersson,F,SBD,Raw,20.5,20-23,19-23,Open,68.59,69,125,132.5,-137.5,NA,132.5,87.5,92.5,-95,NA,92.5,177.5,185,190,NA,190,415,8,424.53,418.76,369.29,86.26,Yes,Sweden,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Evelyn-Tiare Kaljurand,F,SBD,Raw,23.5,24-34,24-39,Open,68.99,69,-125,130,135,NA,135,50,55,-57.5,NA,55,135,150,-155,NA,150,340,11,346.66,341.68,301.28,70.44,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Indra Aru,F,SBD,Raw,24.5,24-34,24-39,Open,67.38,69,115,122.5,-125,NA,122.5,65,72.5,-75,NA,72.5,120,130,-137.5,NA,130,325,14,335.87,332.13,292.99,68.24,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Jenni Kahri,F,SBD,Raw,20.5,20-23,19-23,Open,61.13,63,127.5,-132.5,-132.5,NA,127.5,72.5,77.5,80,NA,80,135,145,155,NA,155,362.5,8,397.18,398.37,351.89,80.9,Yes,Finland,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Sydney Kender,F,SBD,Raw,20.5,20-23,19-23,Open,59.62,63,105,112.5,-117.5,NA,112.5,45,47.5,50,NA,50,120,127.5,130,NA,130,292.5,12,325.56,327.72,289.58,66.41,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Eva Fajs,F,SBD,Raw,23,20-23,19-23,Open,62.36,63,137.5,145,152.5,NA,152.5,75,77.5,80,NA,80,155,-170,175,NA,175,407.5,3,441.02,441.04,389.5,89.75,Yes,Slovenia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Katherine Costanzo,F,SBD,Raw,18.5,18-19,19-23,Open,54.57,57,97.5,107.5,112.5,NA,112.5,52.5,-55,55,NA,55,117.5,125,-132.5,NA,125,292.5,11,344.95,351.2,310.84,70.97,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Annabel Maksimov,F,SBD,Raw,21.5,20-23,19-23,Open,55.17,57,80,85,87.5,NA,87.5,45,50,52.5,NA,52.5,90,102.5,115,NA,115,255,12,298.53,303.57,268.61,61.33,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Minagawa Misaki,F,SBD,Raw,20.5,20-23,19-23,Open,51.05,52,-90,90,-100,NA,90,57.5,62.5,-65,NA,62.5,115,122.5,130,NA,130,282.5,4,348.81,357.21,316.87,72.49,Yes,Japan,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Shamma Alhosani #2,F,SBD,Raw,22.5,20-23,19-23,Open,51.65,52,60,-67.5,67.5,NA,67.5,37.5,-42.5,45,NA,45,80,-92.5,-95,NA,80,192.5,5,235.74,241.23,213.89,48.89,Yes,UAE,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Deimantė Žurinskaitė,F,SBD,Raw,22.5,20-23,19-23,Open,51.79,52,107.5,115,117.5,NA,117.5,65,-70,-70,NA,65,-130,130,132.5,NA,132.5,315,3,385.04,393.92,349.23,79.82,Yes,Lithuania,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Yuto Watanabe,M,SBD,Raw,20.5,20-23,19-23,Open,73.98,74,200,210,217.5,NA,217.5,125,135,140,NA,140,250,275,-292.5,NA,275,632.5,4,457.79,455.05,439.95,92.87,Yes,Japan,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Cameron Lunsford,M,SBD,Raw,21.5,20-23,19-23,Open,103.77,105,-285,285,295,NA,295,180,190,-197.5,NA,190,260,270,282.5,NA,282.5,767.5,4,465.1,460.55,439.76,95.28,Yes,USA,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Shiho Fujiwara,F,SBD,Raw,21.5,20-23,19-23,Open,72.84,76,110,120,125,NA,125,60,65,-67.5,NA,65,110,125,-135,NA,125,315,14,311.64,305.11,268.66,63.41,Yes,Japan,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Marino Katalinić,M,SBD,Raw,24.5,24-34,24-39,Open,117.49,120,230,245,260,NA,260,-160,165,-170,NA,165,235,255,-270,NA,255,680,13,393.33,392.94,376.39,79.78,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Dora Rinčić,F,SBD,Raw,22,20-23,19-23,Open,55.99,57,115,-120,120,NA,120,50,52.5,55,NA,55,142.5,147.5,150,NA,150,325,10,376.76,382.45,338.29,77.28,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Klara Mendaš,F,SBD,Raw,24,24-34,24-39,Open,56.65,57,112.5,117.5,122.5,NA,122.5,52.5,55,57.5,NA,57.5,135,142.5,150,NA,150,330,9,379.61,384.78,340.28,77.77,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Oliver Ozvačić,M,SBD,Raw,21.5,20-23,19-23,Open,101,105,225,245,255,NA,255,175,185,190,NA,190,270,287.5,-300,NA,287.5,732.5,8,448.94,444.04,424.05,92.1,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Leo Tijanić,M,SBD,Raw,22,20-23,19-23,Open,91.82,93,225,237.5,-250,NA,237.5,140,147.5,152.5,NA,152.5,235,250,260,NA,260,650,12,416.13,410.84,393.42,85.57,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Ivan Lokas,M,SBD,Raw,24,24-34,24-39,Open,97.95,105,235,250,255,NA,255,140,150,152.5,NA,152.5,255,-270,270,NA,270,677.5,15,420.83,415.84,397.34,86.44,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Noah Nativel,M,SBD,Raw,22.5,20-23,19-23,Open,65.61,66,205,215,220,NA,220,140,147.5,152.5,NA,152.5,-222.5,235,245,NA,245,617.5,2,485.96,487.23,473.58,96.56,Yes,France,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Johanna Sanjuan,F,SBD,Raw,20.5,20-23,19-23,Open,46.32,47,110,115,120,NA,120,50,55,-60,NA,55,130,137.5,140,NA,140,315,2,417.32,428.09,382.06,88.6,Yes,France,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Ana Sophia Arriola,F,SBD,Raw,21.5,20-23,19-23,Open,49.33,52,117.5,122.5,125,NA,125,62.5,-67.5,67.5,NA,67.5,140,145,153.5,NA,153.5,346,2,437.74,449.03,399,91.57,Yes,Mexico,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Jose Sanchez #3,M,SBD,Raw,23.5,24-34,24-39,Open,114.6,120,290,302.5,310,NA,310,180,-185,-185,NA,180,292.5,307.5,-317.5,NA,307.5,797.5,5,465.31,463.82,443.92,94.61,Yes,Mexico,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Aylin Esthefania Cuevas Guzmán,F,SBD,Raw,20,20-23,19-23,Open,46.05,47,117.5,124,126,NA,126,57.5,62.5,-65,NA,62.5,142.5,153,155.5,NA,155.5,344,1,457.73,469.44,419.17,97.34,Yes,Mexico,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Stina Lindkvist,F,SBD,Raw,23.5,24-34,24-39,Open,83.99,84,155,165,173,NA,173,87.5,92.5,95,NA,95,175,187.5,192.5,NA,192.5,460.5,1,423.75,410.67,359.03,86.97,Yes,Sweden,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Marija Locmele,F,SBD,Raw,23.5,24-34,24-39,Open,62.72,63,120,127.5,132.5,NA,132.5,70,75,77.5,NA,77.5,132.5,142.5,-150,NA,142.5,352.5,11,380.15,379.85,335.43,77.34,Yes,Latvia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Rick Duyvestijn,M,SBD,Raw,22.5,20-23,19-23,Open,91.09,93,-225,225,-240,NA,225,152.5,157.5,160,NA,160,280,295,-300,NA,295,680,8,437.05,431.49,413.33,89.87,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Reya Soontalu,F,SBD,Raw,17.5,18-19,14-18,Open,84.01,84+,107.5,115,122.5,NA,122.5,65,70,-72.5,NA,70,150,157.5,162.5,NA,162.5,355,3,326.64,316.55,276.74,67.04,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Andra Aruksaar,F,SBD,Raw,17.5,18-19,14-18,Open,80.01,84,-150,150,162.5,NA,162.5,65,70,72.5,NA,72.5,145,155,160,NA,160,395,6,372.17,361.4,316.94,76.1,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Marčelina Filipović,F,SBD,Raw,18.5,18-19,19-23,Open,63.87,69,-145,145,152.5,NA,152.5,47.5,52.5,55,NA,55,117.5,125,-130,NA,125,332.5,13,354.65,353.42,312.02,72.11,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Katya Katzarova,F,SBD,Raw,20.5,20-23,19-23,Open,45.77,47,45,50,57.5,NA,57.5,-50,52.5,57.5,NA,57.5,95,105,112.5,NA,112.5,227.5,5,304.1,311.8,278.56,64.78,Yes,Bulgaria,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Stjepan Romić,M,SBD,Raw,20,20-23,19-23,Open,91.12,93,235,250,-260,NA,250,162.5,170,-175,NA,170,270,290,-305,NA,290,710,6,456.26,450.45,431.49,93.82,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Gabriel Višek,M,SBD,Raw,22,20-23,19-23,Open,82.24,83,220,232.5,240,NA,240,137.5,145,150,NA,150,270,285,300,NA,300,690,4,468.24,463.11,445.67,95.96,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Luuk Tiel,M,SBD,Raw,22.5,20-23,19-23,Open,81.35,83,210,222.5,227.5,NA,227.5,155,160,-165,NA,160,240,252.5,265,NA,265,652.5,10,445.56,440.85,424.45,91.25,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Juli Besteman,F,SBD,Raw,21.5,20-23,19-23,Open,75.32,76,142.5,150,152.5,NA,152.5,85,90,-92.5,NA,90,170,182.5,187.5,NA,187.5,430,7,417.87,407.69,358.57,85.14,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Ida Janež,F,SBD,Raw,21.5,20-23,19-23,Open,62.2,63,147.5,155,-160,NA,155,80,85,87.5,NA,87.5,150,157.5,162.5,NA,162.5,405,5,439,439.2,387.88,89.35,Yes,Slovenia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Lara Raffone,F,SBD,Raw,22,20-23,19-23,Open,75.17,76,145,155,160,NA,160,72.5,77.5,-80,NA,77.5,160,172.5,185,NA,185,422.5,9,411.01,401.08,352.78,83.73,Yes,Slovenia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Amanda Veiksane,F,SBD,Raw,22.5,20-23,19-23,Open,68.21,69,122.5,132.5,137.5,NA,137.5,55,60,62.5,NA,62.5,145,157.5,167.5,NA,167.5,367.5,10,377.13,372.29,328.35,76.63,Yes,Latvia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Lea Zugan,F,SBD,Raw,24.5,24-34,24-39,Open,82.12,84,142.5,150,152.5,NA,152.5,-60,62.5,-67.5,NA,62.5,162.5,175,185,NA,185,400,4,372.08,360.86,315.97,76.23,Yes,Slovenia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Laura Jelen,F,SBD,Raw,25,24-34,24-39,Open,82.99,84,137.5,145,150,NA,150,67.5,72.5,75,NA,75,132.5,142.5,147.5,NA,147.5,372.5,8,344.74,334.21,292.43,70.68,Yes,Slovenia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Natan Cavrenne,M,SBD,Raw,20.5,20-23,19-23,Open,82.24,83,215,227.5,-232.5,NA,227.5,132.5,137.5,140,NA,140,245,262.5,-275,NA,262.5,630,14,427.52,422.84,406.92,87.62,Yes,Belgium,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Alexander Chmelo,M,SBD,Raw,21.5,20-23,19-23,Open,99.45,105,225,240,250,NA,250,145,150,155,NA,155,290,300,-310,NA,300,705,14,434.98,430.01,410.74,89.3,Yes,Slovakia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Tarik Azzaoui,M,SBD,Raw,21.5,20-23,19-23,Open,92.93,93,232.5,240,NA,NA,240,157.5,165,170,NA,170,255,275,-300,NA,275,685,7,435.99,430.46,412.01,89.65,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Chris Matsiselts,M,SBD,Raw,21.5,20-23,19-23,Open,104.37,105,240,250,-255,NA,250,175,-185,-185,NA,175,235,245,250,NA,250,675,16,408.08,404.21,385.97,83.57,Yes,Estonia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Simon Plennevaux,M,SBD,Raw,22,20-23,19-23,Open,92.61,93,235,247.5,255,NA,255,142.5,150,155,NA,155,242.5,262.5,270,NA,270,680,9,433.53,428.03,409.73,89.14,Yes,Belgium,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Boris Swart,M,SBD,Raw,22.5,20-23,19-23,Open,75.86,83,205,215,-222.5,NA,215,127.5,132.5,135,NA,135,250,260,-267.5,NA,260,610,17,434.47,431.25,416.49,88.41,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Erik Petras,M,SBD,Raw,22.5,20-23,19-23,Open,92.48,93,230,240,-250,NA,240,140,145,-150,NA,145,250,265,275,NA,275,660,11,421.06,415.72,397.97,86.58,Yes,Slovakia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Romy van Vianen,F,SBD,Raw,23.5,24-34,24-39,Open,68.23,69,177.5,190,195,NA,195,102.5,107.5,110,NA,110,182.5,192.5,-203.5,NA,192.5,497.5,1,510.45,503.88,444.4,103.72,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Lea Žunić,F,SBD,Raw,25,24-34,24-39,Open,60.76,63,115,120,122.5,NA,122.5,-75,75,-80,NA,75,165,175,-182.5,NA,175,372.5,6,409.68,411.27,363.32,83.47,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Marko Kuzmić,M,SBD,Raw,24,24-34,24-39,Open,81.84,83,202.5,217.5,230,NA,230,-140,145,150,NA,150,232.5,252.5,-270,NA,252.5,632.5,13,430.41,425.77,409.83,88.18,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Lukša Zlošilo,M,SBD,Raw,23.5,24-34,24-39,Open,73.81,74,205,-215,217.5,NA,217.5,152.5,157.5,165,NA,165,225,235,-242.5,NA,235,617.5,6,447.6,444.99,430.26,90.78,Yes,Croatia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Collin Yakwo,M,SBD,Raw,23.5,24-34,24-39,Open,104.97,105,272.5,282.5,292.5,NA,292.5,182.5,-187.5,187.5,NA,187.5,300,312.5,-322.5,NA,312.5,792.5,3,478.01,473.61,452.25,97.86,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Nelli Westerlund,F,SBD,Raw,23.5,24-34,24-39,Open,56.2,57,132.5,140,-142.5,NA,140,75,80,-82.5,NA,80,135,145,-147.5,NA,145,365,6,422.08,428.26,378.79,86.54,Yes,Finland,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Sasho Velinov,M,SBD,Raw,25,24-34,24-39,Open,119.21,120,275,285,-290,NA,285,180,-187.5,187.5,NA,187.5,290,300,-310,NA,300,772.5,8,444.63,444.82,426.22,90.06,Yes,Bulgaria,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Reinis Ratnieks,M,SBD,Raw,24,24-34,24-39,Open,107.22,120,250,265,280,NA,280,177.5,185,192.5,NA,192.5,260,280,290,NA,290,762.5,9,456.06,452.4,432.11,93.23,Yes,Latvia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Eliam Tchandeu Noundou,M,SBD,Raw,25,24-34,24-39,Open,104.6,105,282.5,297.5,305,NA,305,195,205.5,-210,NA,205.5,322.5,345,-365.5,NA,345,855.5,1,516.75,511.9,488.8,105.81,Yes,France,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Matej Žunko,M,SBD,Raw,22.5,20-23,19-23,Open,82.7,83,220,230,237.5,NA,237.5,145,152.5,157.5,NA,157.5,225,240,-247.5,NA,240,635,12,429.56,424.78,408.67,88.06,Yes,Slovenia,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Mathis Convers,M,SBD,Raw,23.5,24-34,24-39,Open,73.24,74,215,225,-227.5,NA,225,162.5,173,175.5,NA,175.5,237.5,245,-250,NA,245,645.5,2,470.28,467.75,452.42,95.28,Yes,France,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Andonis Roosberg,M,SBD,Raw,25,24-34,24-39,Open,65.78,66,205,-217.5,-217.5,NA,205,135,140,142.5,NA,142.5,200,210,215,NA,215,562.5,8,441.83,442.89,430.43,87.84,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Salma Mmadi Ali,F,SBD,Raw,24,24-34,24-39,Open,125.67,84+,185,195,-201,NA,195,90,-100,100,NA,100,175,190,-197.5,NA,190,485,1,384.42,384.67,325.15,82.53,Yes,France,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Emma Machwate,F,SBD,Raw,22,20-23,19-23,Open,75.73,76,162.5,170,177.5,NA,177.5,80,-85,-85,NA,80,195,210,-212,NA,210,467.5,2,453.02,441.76,388.44,92.33,Yes,France,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Tyra Häggström,F,SBD,Raw,23,20-23,19-23,Open,74.31,76,165,172.5,177.5,NA,177.5,87.5,92.5,-95,NA,92.5,162.5,172.5,177.5,NA,177.5,447.5,5,438,427.9,376.53,89.19,Yes,Sweden,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Ellen B. Åkesson,F,SBD,Raw,25,24-34,24-39,Open,62.4,63,127.5,137.5,142.5,NA,142.5,97.5,100,-105.5,NA,100,190,198,-211,NA,198,440.5,1,476.54,476.53,420.83,96.97,Yes,Sweden,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Sara Manders,F,SBD,Raw,25,24-34,24-39,Open,56.89,57,-130,130,-135,NA,130,60,65,NA,NA,65,175,183.5,-186,NA,183.5,378.5,4,434.19,439.87,388.97,88.91,Yes,Netherlands,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Léa Lucas,F,SBD,Raw,23.5,24-34,24-39,Open,56.73,57,155,-165.5,165.5,NA,165.5,82.5,87.5,90,NA,90,175,184,-187,NA,184,439.5,1,505.1,511.89,452.68,103.46,Yes,France,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Ivan Georgiev,M,SBD,Raw,19.5,20-23,19-23,Open,118.19,120,260,280,285,NA,285,200,-211,-211,NA,200,290,307.5,-327.5,NA,307.5,792.5,6,457.47,457.28,438.09,92.74,Yes,Bulgaria,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Damian Rusek,M,SBD,Raw,20,20-23,19-23,Open,82.08,83,225,235,240,NA,240,125,132.5,-137.5,NA,132.5,290,305,-307.5,NA,305,677.5,6,460.27,455.26,438.15,94.31,Yes,Poland,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Michał Mizia,M,SBD,Raw,18.5,18-19,19-23,Open,79.14,83,202.5,-215,-215,NA,202.5,157.5,-167.5,-167.5,NA,157.5,260,270,275,NA,275,635,11,440.68,436.5,420.79,90.05,Yes,Poland,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Alexander Renner,M,SBD,Raw,24,24-34,24-39,Open,150.5,120+,300,325,332.5,NA,332.5,230.5,243.5,-252,NA,243.5,325,354,367,NA,367,943,1,506.66,521.51,492.97,99.96,Yes,Austria,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Robin Neyt,M,SBD,Raw,24.5,24-34,24-39,Open,104.7,105,225,237.5,242.5,NA,242.5,147.5,152.5,-155,NA,152.5,252.5,265,-270,NA,265,660,17,398.5,394.78,376.97,81.6,Yes,Belgium,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Aleksander Koszewski,M,SBD,Raw,21.5,20-23,19-23,Open,91.76,93,225,235,242.5,NA,242.5,170,175,-180,NA,175,302.5,315,322.5,NA,322.5,740,3,473.9,467.87,448.04,97.45,Yes,Poland,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Kaja Stabulewska,F,SBD,Raw,19.5,20-23,19-23,Open,67.68,69,155,-165,-165,NA,155,-105,105,110,NA,110,175,182.5,187.5,NA,187.5,452.5,2,466.44,460.95,406.6,94.77,Yes,Poland,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Wiktoria Zapotoczna,F,SBD,Raw,19.5,20-23,19-23,Open,61.57,63,147.5,155,-160,NA,155,82.5,87.5,-90,NA,87.5,175,-185,185,NA,185,427.5,2,466.31,467.22,412.68,94.95,Yes,Poland,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
Anne-Sophie Brysse,F,SBD,Raw,23.5,24-34,24-39,Open,65.7,69,150,160,-165,NA,160,82.5,87.5,90,NA,90,160,170,175,NA,175,425,6,445.74,442.36,390.39,90.58,Yes,Belgium,NA,IPF,IPF,2024-07-23,Estonia,NA,Tartu,FISU World University Powerlifting Championships,Yes,2024
