Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned,Year
Shubang Nagalotimath,M,SBD,Raw,23.5,24-34,24-39,Open,91.7,93,250,260,-270,NA,260,152.5,-160,-160,NA,152.5,285,-302.5,302.5,NA,302.5,715,6,458.04,452.21,433.06,94.18,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Charlie Moore #1,M,SBD,Raw,22.5,20-23,19-23,Open,120.15,120+,235,247.5,255,NA,255,142.5,150,155,NA,155,300,-320,-331,NA,300,710,3,407.59,408.08,391.05,82.49,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Samantha Smith #1,F,SBD,Raw,22.5,20-23,19-23,Open,59.5,63,142.5,152.5,157.5,NA,157.5,75,-80,80,NA,80,175,187.5,-192.5,NA,187.5,425,1,473.63,476.91,421.42,96.63,Yes,Scotland,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Annabelle Cox,F,SBD,Raw,20.5,20-23,19-23,Open,56.55,57,152.5,160,-163.5,NA,160,75,80,82.5,NA,82.5,152.5,160,165,NA,165,407.5,1,469.3,475.81,420.79,96.16,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Allaya Rasul,F,SBD,Raw,23.5,24-34,24-39,Open,46.7,47,100,-110,-110,NA,100,55,57.5,-60,NA,57.5,140,148.5,-155.5,NA,148.5,306,3,402.94,413.44,368.74,85.37,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Isobel David,F,SBD,Raw,19,18-19,19-23,Open,62.3,63,-147.5,147.5,-155,NA,147.5,-92.5,-92.5,92.5,NA,92.5,152.5,165,175,NA,175,415,2,449.4,449.49,396.96,91.46,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Emeka Obiekwe,M,SBD,Raw,19.5,20-23,19-23,Open,82.2,83,247.5,262.5,275,NA,275,140,-150,-150,NA,140,-280,300,-302.5,NA,300,715,5,485.34,480.03,461.96,99.46,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Nisha Mistry,F,SBD,Raw,18.5,18-19,19-23,Open,51.35,52,105,107.5,110,NA,110,60,-65,-65,NA,60,135,142.5,145,NA,145,315,4,387.34,396.52,351.65,80.41,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Rudi Norris,M,SBD,Raw,20.5,20-23,19-23,Open,113.95,120,267.5,285,290,NA,290,180,190,195,NA,195,280,295,305,NA,305,790,3,461.87,460.17,440.34,93.96,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Libby Rubin,F,SBD,Raw,20.5,20-23,19-23,Open,75.65,76,162.5,172.5,-180,NA,172.5,85,90,-92.5,NA,90,175,187.5,-190,NA,187.5,450,3,436.3,425.5,374.16,88.91,Yes,Wales,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
